district_name,ntl_mean,ntl_std,ntl_max,ntl_per_capita,ntl_trend,ntl_yoy_change,ntl_iqr,pop_density,ndvi_mean,ndvi_std,urban_fraction,water_fraction,elevation_mean,elevation_std,road_density,ntl_mean_spatial_lag,ntl_per_capita_spatial_lag,ndvi_mean_spatial_lag,pop_density_spatial_lag
Barguna,0.3425159149959237,0.025009210976528123,0.14451471066739946,0.005573085185311607,0.12075180688191667,-0.16253810725451717,1.6103187972991584,0.019094228227325497,0.019666852377978522,-0.04908070125464095,0.05646875628194492,0.011025705379651494,0.9948520771000299,0.041019407067425746,-0.18118174160540113,4.078521979413337,-0.10836664339880953,0.04630524514804721,-0.03961120848860987
Barishal,-0.003929171979140962,0.10175166296943342,0.11766615870579485,0.012896623841845256,0.13012147051305506,-0.20209081394915135,1.2902206210915803,0.07826629376933314,0.006152159955816696,0.019173654351340153,0.016329702622788756,0.057531064449143965,0.978565238101154,0.05958209182288248,-0.2088750527481433,2.983925415847912,0.11406685227087948,0.24949734932354178,-0.008991945960061597
Bhola,0.5347461765451912,0.09949300799153936,0.2557834149026606,0.22149017135021792,0.12400717433148847,0.18922270587919185,1.419699390711423,0.11984703351333582,0.31053126774797335,0.09526245136943717,0.08117279565600087,0.11572130196492467,1.0886095699277498,0.05067597277560275,-0.17474035055498843,0.7980541357560363,0.17514342616195364,0.3774936644128798,0.05164606455738076
Jhalokati,0.07237628201628914,0.11367717242485675,0.10312496432534264,0.030734746948561813,0.09633991287540088,-0.15420597593531873,1.1555602830964955,0.10410324906564689,-0.025549641453693317,0.054333529773040457,0.09875735823803414,-0.01451875342077491,-0.0873327013954095,0.01786551379100904,-0.2890069484856173,4.383083422940139,0.1756274566309529,0.1465088663572846,-0.0036193627922368817
Patuakhali,0.02094983997805515,0.11463456771370882,0.11833831120068035,0.01497216029775069,0.03911345208213844,-0.14801905251095984,1.518369708775369,0.025302218816153063,0.050447981786505475,-0.03709639512876335,0.04376452225255986,-0.03591241437651314,0.959613878553006,-0.05124505497710531,-0.14405863387180545,4.101628874183935,0.1527010427909234,0.28925755180438045,0.05109681562998604
Pirojpur,0.5898171974183655,0.2807771861020745,0.03279210686151701,0.3131271813701632,0.09603184526007892,-0.07610371875970952,1.3466107891483465,0.085788788508088,0.03979288165038897,0.009640512689314044,0.12299989649373118,0.021567800803041194,-0.17602007480219453,-0.0013352728438043471,0.08772146108842088,2.020984531327474,-0.11246684666902099,-0.18940308623968097,0.4195361955934061
Bandarban,0.10307700007918563,-0.00434026968616561,-0.2879534823483155,-0.1062905181195062,-0.0831869467119998,-0.15972504637040197,0.3293885849378424,-0.17244466008480888,-0.09944059053095736,0.15413196527378792,-0.06595404021693071,0.15546923196224374,0.13539234663715316,-0.12073730862085959,-1.0092358639584686,-0.3797490171842179,-0.24008845845664076,-0.7092473768035464,-0.024206174797393044
Brahmanbaria,-0.056001255919397336,0.013609825535967433,-0.011838449440246509,0.024940063730753605,-0.11245024546622813,-0.2535659329001461,-0.4367226040601952,-0.10361204564522164,-0.00977309495364443,-0.11147679435352667,-0.06763162301506973,-0.1436843614363803,-0.9039058729988975,-0.014212370490473825,-0.2529043595429258,-0.3915788725020882,-0.1406256748957615,0.3074010360829488,-0.019107992729468025
Chandpur,-0.03750360409520928,-0.17940139553497728,-0.021301188033785824,0.032388203425856466,0.07086466226358458,-0.2069165009553384,0.1822981353725553,-0.13540011148909945,0.004818274758386863,-0.07624502151379013,0.005393013245510761,-0.14931324133698543,-0.9496700211948552,0.048794092159845,0.04195463093772596,-0.4497674463380927,0.01993403272101885,-0.04514652699543454,-0.22192061239691582
Chattogram,-0.10183695671526048,0.02195578580928693,0.08205089800205884,-0.07070236175887468,0.027567994501923328,-0.34474694780928195,-0.29863365889455556,-0.07671442227812492,-0.039366442803433085,-0.0621251885219982,-0.10668785756846819,-0.09608741936049203,0.3527692491298176,-0.09302312485040785,0.5448548619763768,-0.38976535737702095,-0.26047873703928587,-0.5185607249829268,-0.13261021445933244
Cumilla,-0.05808496678729557,0.03981987104898891,0.01733544179276046,-0.010560305966449387,0.05741188776505039,-0.348031113949141,-0.39893495366558485,-0.16380865986467025,-0.13740611657109153,0.1882506153353725,-0.08224652815351528,-0.1519682716633179,-1.0611712769776986,-0.04864389786876907,0.2865689377018572,-0.3772882312613988,0.10521510649869886,-0.1303176584432246,-0.07628050397056987
Cox's Bazar,-0.06345034164764621,0.0390036635495018,0.009744719051168318,-0.008090104579559486,0.03636422277364751,-0.3650472649098142,-0.36845393358731193,-0.10530069152651815,-0.020935364139009878,-0.08277794408333344,-0.030875972127681763,-0.0912841711594486,-0.7739286420712035,5.442115546225833e-05,0.26597372596396013,-0.3396021808448747,-0.24504445090951427,-0.5797101499439267,-0.15078016596389732
Feni,-0.043535845732075175,0.029864480880498007,-0.011982036492243608,0.0006905753422117903,0.06307685217404382,-0.3695511219848149,-0.4018687606345431,-0.10680587820706254,-0.10301106017111787,-0.04856743004011341,-0.09269825572116638,0.16244878240209265,-1.0582368524323214,-0.09875326512953976,0.2583683812958709,-0.3339533161040747,-0.20938092895385232,-0.6983955714791288,-0.0008493740126611025
Khagrachhari,0.08956960186102117,-0.18015155297603844,-0.2886208139721975,-0.12218093508843815,-0.21407915006063952,0.3940992316894673,0.31950235044068576,-0.13122583559872103,-0.059963649620176834,0.056722173573868474,-0.062863692311698,0.15755026695129323,0.26480399835676927,-0.10112171571323694,-1.1818928153077657,-0.37985813357785364,-0.2409523435063073,-0.6590092301810988,-0.12346837995893421
Lakshmipur,-0.00446014797151247,-0.061158891814052645,-0.08783453648988213,0.006575251422348284,0.07258678936902467,-0.23696029570724705,-0.394851668420712,-0.11839560748766985,-0.0076647289237667515,0.03434885527394246,-0.0035337318469328906,-0.015343641095383699,-0.6605207982423859,-0.022050804386202737,-0.264141895018825,-0.15640463765021956,0.040502639261273364,0.3210727835834371,-0.0589055588552342
Noakhali,-0.0495062978148235,-0.02300770210741407,-0.026390288880921278,0.14605891484578007,0.0709991239526763,-0.24189158347610443,-0.4363235505955194,-0.08016775192154042,-0.01609067858785562,-0.09785358541170439,0.0017224032283313542,-0.09470877332842129,-0.8693390597742984,-0.0960890821482766,-0.2580078035724622,-0.42358091609613074,0.07948169725847287,-0.0265412005208983,-0.10590449004889
Rangamati,0.1541968073171324,0.059042374917888496,-0.261950855801533,-0.14136044081447782,-0.08293946777296363,-0.15013703535330813,0.35785012621806267,-0.14345867739004953,-0.049529840147367526,-0.09748755892311553,-0.06597042063919392,0.01028351889850127,0.23809813128577353,-0.14800232513662737,-1.0259502734545722,-0.3864026424278211,-0.24197678238879178,-0.603900725810992,-0.07554453757654536
Dhaka,-0.06738418560380015,0.02597528038381447,0.14666144022413818,0.1825520627082123,0.05233818394145684,-0.3008489726988384,-0.30315504322724196,-0.10855636940523215,0.011715954867079117,-0.04837209297914307,-0.049400549291111144,-0.06683804540922515,-0.9182728378344994,0.019475369977973882,0.6206047038346515,-0.23513716290289524,-0.138882604511962,0.027301338303354874,0.018082904623267067
Faridpur,-0.04750129992736482,0.04463161655425444,0.0418643259450352,-0.00712934271031155,0.07469491875460846,-0.26687003639455203,-0.3488862643559211,0.08269045170835843,0.03032461195478534,-0.06210450053649584,0.09925138368192624,-0.07271842348144175,-0.688817506480337,0.02906773028215745,-0.2253059031667373,-0.30642940299017857,0.07757173096993387,0.04547069994818742,0.08405458524409204
Gazipur,-0.044103053510784404,0.020370860234180034,0.08608944610672335,0.006345574639878509,0.09223181614572434,-0.2891443198245277,-0.27866639511801183,-0.09643342615175005,-0.0438775898221736,0.029330802672100528,-0.07756150150510406,-0.11754455432905146,-0.8459162130343126,0.12319184023516308,0.3644492559207365,-0.23515880845045936,-0.024198111324213595,0.522234743612533,0.04421900850334911
