district_name,division_name,ntl_mean,ntl_std,ntl_max,ntl_min,ntl_p25,ntl_p75,ntl_yoy_change,ntl_trend,pop_density,pop_total,ndvi_mean,ndvi_std,urban_fraction,water_fraction,elevation_mean,elevation_std,road_length_km,poverty_hcr,poverty_hcr_lower,poverty_change,ntl_per_capita,area_sqkm,road_density,ntl_iqr,ntl_mean_spatial_lag,ntl_per_capita_spatial_lag,ndvi_mean_spatial_lag,pop_density_spatial_lag,poverty_predicted
Pabna,Rajshahi,0.854169,1.589739,68.354996,0.28,0.416104,0.666225,0.01613,0.023364,10.458084,2452052.925349,0.584288,0.122842,0.009918,0.052999,12.498202,3.81269,4797.23,16.7,6.7,-12.2,0.081676,2395.484443,2.002614,0.250121,0.6978152000000001,0.0700604,0.5621642,10.083386,17.836000000000023
Rajshahi,Rajshahi,0.7782,1.315788,27.48,0.285,0.445559,0.674834,0.099452,0.04067,10.352176,2508018.389841,0.569575,0.120671,0.021277,0.062205,20.53985,6.759454,4266.57,16.7,6.7,-12.2,0.075173,2445.590584,1.744597,0.229275,0.6698817499999999,0.07489575,0.590821,9.000063,17.051000000000023
Sirajganj,Rajshahi,0.688188,0.654647,22.16,0.27,0.42999,0.676951,0.051492,0.030466,12.749129,3057685.120914,0.509395,0.171138,0.006337,0.147962,13.283207,3.811345,3931.89,16.7,6.7,-12.2,0.053979,2499.651396,1.572975,0.246961,0.7418056666666666,0.0766454999999999,0.5795523333333333,9.683298,16.967000000000013
Dinajpur,Rangpur,0.721839,0.506972,9.6,0.37,0.53083,0.714217,0.036379,0.029048,7.467294,2822967.993818,0.607132,0.031411,0.030866,0.006323,37.167992,7.545474,21683.64,24.8,10.0,-22.4,0.096667,3465.569664,6.256876,0.183387,0.7071773333333333,0.0857613333333333,0.6087846666666665,8.650053166666666,23.585999999999995
Gaibandha,Rangpur,0.577384,0.317861,6.56,0.25,0.453808,0.606738,0.022133,0.018949,10.261193,2253856.613084,0.534324,0.178031,0.005694,0.116029,22.952142,3.362204,5375.18,24.8,10.0,-22.4,0.056269,2171.488103,2.475344,0.15293,0.6992186666666667,0.076458,0.5826706666666667,9.290163166666666,22.561999999999994
Kurigram,Rangpur,0.567446,0.35988,4.75,0.25,0.389277,0.606538,0.023666,0.020474,9.128163,1940395.850546,0.498971,0.187016,0.003757,0.182529,27.606215,4.472266,6965.41,24.8,10.0,-22.4,0.062164,2256.736096,3.086497,0.217261,0.7091275,0.07177975,0.5852885,9.9500855,23.621
Lalmonirhat,Rangpur,0.83583,0.592063,6.665,0.32,0.577992,0.88938,0.027014,0.014023,9.029359,1182034.955421,0.612272,0.095275,0.006771,0.059074,44.143663,10.966696,4171.17,24.8,10.0,-22.4,0.092568,1255.012751,3.323608,0.311389,0.691103,0.0691773333333333,0.5764996666666666,9.94497,23.502000000000002
Nilphamari,Rangpur,0.708037,0.543632,8.934999,0.335,0.53006,0.713456,0.008718,0.017518,9.852075,1783659.790036,0.612429,0.069138,0.011552,0.028448,49.803411,7.020948,7568.06,24.8,10.0,-22.4,0.071867,1589.537533,4.761171,0.183396,0.7871695,0.0966467499999999,0.6173967499999999,8.4389165,23.648999999999997
Panchagarh,Rangpur,0.793183,0.488045,5.6,0.425,0.54793,0.828329,0.028154,0.033774,6.404341,964184.284809,0.632084,0.036094,0.008979,0.010946,71.118319,11.380772,8936.67,24.8,10.0,-22.4,0.123851,1361.583626,6.563438,0.280399,0.699038,0.0895783333333333,0.6165883333333333,7.992785333333333,23.17
Rangpur,Rangpur,0.797826,0.857157,15.82,0.325,0.532706,0.714968,0.049897,0.037426,10.854672,2751600.318322,0.618099,0.054771,0.01594,0.016353,32.099486,4.401903,8248.21,24.8,10.0,-22.4,0.073501,2350.391066,3.509293,0.182262,0.6821072000000001,0.075907,0.5730256,9.147616800000002,23.155999999999995
Thakurgaon,Rangpur,0.667238,0.410046,7.565,0.38,0.515506,0.671741,0.01925,0.029681,6.658987,1315680.801682,0.630204,0.027611,0.018432,0.001933,52.022956,7.444385,6048.12,24.8,10.0,-22.4,0.100201,1810.664129,3.340277,0.156235,0.757511,0.110259,0.6196079999999999,6.9358175,24.02999999999999
Habiganj,Sylhet,0.78231,1.213841,33.380001,0.225,0.381999,0.857335,0.096114,0.027318,7.396556,2081208.960744,0.555217,0.135134,0.005662,0.012548,15.848259,13.395761,3598.54,17.4,4.6,1.2,0.105767,2579.490223,1.395059,0.475335,0.6867082000000001,0.0718254,0.497639,9.8624292,17.761000000000024
Moulvibazar,Sylhet,0.657269,0.479537,12.97,0.225,0.467604,0.71469,0.037273,0.017844,6.865062,1870828.796013,0.619761,0.132085,0.003673,0.015931,28.336375,22.569599,3493.54,17.4,4.6,1.2,0.095741,2671.369305,1.307771,0.247086,0.783164,0.0911315,0.5350755,8.8228215,18.256000000000014
Sunamganj,Sylhet,0.426541,0.316158,10.495,0.205,0.341024,0.465843,0.041801,0.018536,6.428594,2488980.268971,0.370662,0.141872,0.001618,0.063664,9.237315,3.424867,12396.42,17.4,4.6,1.2,0.066351,3685.293859,3.363753,0.124819,0.66960125,0.077841,0.5043832500000001,8.8322175,18.583000000000023
Sylhet,Sylhet,0.784018,1.343238,75.350006,0.285,0.413441,0.656886,0.029021,0.021817,10.249087,3815239.5334,0.514934,0.117676,0.008424,0.027129,16.465948,7.340037,19420.94,17.4,4.6,1.2,0.076496,3408.903219,5.697123,0.243445,0.6220399999999999,0.0892863333333333,0.5152133333333333,6.896737333333332,18.16900000000002
